gene_symbol,ensembl_gene,entrez_id
ABL1,ENSG00000097007,25
AMD1,ENSG00000123505,262
ARID4A,ENSG00000032219,5926
ATF5,ENSG00000169136,22809
ATRX,ENSG00000085224,546
AURKA,ENSG00000087586,6790
AURKB,ENSG00000178999,9212
BARD1,ENSG00000138376,580
BCL3,ENSG00000069399,602
BIRC5,ENSG00000089685,332
BRCA2,ENSG00000139618,675
BUB1,ENSG00000169679,699
BUB3,ENSG00000154473,9184
CBX1,ENSG00000108468,10951
CCNA2,ENSG00000145386,890
CCNB2,ENSG00000157456,9133
CCND1,ENSG00000110092,595
CCNF,ENSG00000162063,899
CCNT1,ENSG00000129315,904
CDC20,ENSG00000117399,991
CDC25A,ENSG00000164045,993
CDC25B,ENSG00000101224,994
CDC27,ENSG00000004897,996
CDC45,ENSG00000093009,8318
CDC6,ENSG00000094804,990
CDC7,ENSG00000097046,8317
CDK1,ENSG00000170312,983
CDK4,ENSG00000135446,1019
CDKN1B,ENSG00000111276,1027
CDKN2C,ENSG00000123080,1031
CDKN3,ENSG00000100526,1033
CENPA,ENSG00000115163,1058
CENPE,ENSG00000138778,1062
CENPF,ENSG00000117724,1063
CHAF1A,ENSG00000167670,10036
CHEK1,ENSG00000149554,1111
CHMP1A,ENSG00000131165,5119
CKS1B,ENSG00000173207,1163
CKS2,ENSG00000123975,1164
CTCF,ENSG00000102974,10664
CUL1,ENSG00000055130,8454
CUL3,ENSG00000036257,8452
CUL4A,ENSG00000139842,8451
CUL5,ENSG00000166266,8065
DBF4,ENSG00000006634,10926
DDX39A,ENSG00000123136,10212
DKC1,ENSG00000130826,1736
DMD,ENSG00000198947,1756
DR1,ENSG00000117505,1810
DTYMK,ENSG00000168393,1841
E2F1,ENSG00000101412,1869
E2F2,ENSG00000007968,1870
E2F3,ENSG00000112242,1871
E2F4,ENSG00000205250,1874
EFNA5,ENSG00000184349,1946
EGF,ENSG00000138798,1950
ESPL1,ENSG00000135476,9700
EWSR1,ENSG00000182944,2130
EXO1,ENSG00000174371,9156
EZH2,ENSG00000106462,2146
FANCC,ENSG00000158169,2176
FBXO5,ENSG00000112029,26271
FOXN3,ENSG00000053254,1112
G3BP1,ENSG00000145907,10146
GINS2,ENSG00000131153,51659
GSPT1,ENSG00000103342,2935
H2AX,ENSG00000188486,3014
H2AZ1,ENSG00000164032,3015
H2AZ2,ENSG00000105968,94239
H2BC12,ENSG00000197903,85236
HIF1A,ENSG00000100644,3091
HIRA,ENSG00000100084,7290
HMGA1,ENSG00000137309,3159
HMGB3,ENSG00000029993,3149
HMGN2,ENSG00000198830,3151
HMMR,ENSG00000072571,3161
HNRNPD,ENSG00000138668,3184
HNRNPU,ENSG00000153187,3192
HOXC10,ENSG00000180818,3226
HSPA8,ENSG00000109971,3312
HUS1,ENSG00000136273,3364
ILF3,ENSG00000129351,3609
INCENP,ENSG00000149503,3619
JPT1,ENSG00000189159,51155
KATNA1,ENSG00000186625,11104
KIF11,ENSG00000138160,3832
KIF15,ENSG00000163808,56992
KIF20B,ENSG00000138182,9585
KIF22,ENSG00000079616,3835
KIF23,ENSG00000137807,9493
KIF2C,ENSG00000142945,11004
KIF4A,ENSG00000090889,24137
KIF5B,ENSG00000170759,3799
KMT5A,ENSG00000183955,387893
KNL1,ENSG00000137812,57082
KPNA2,ENSG00000182481,3838
KPNB1,ENSG00000108424,3837
LBR,ENSG00000143815,3930
LIG3,ENSG00000005156,3980
LMNB1,ENSG00000113368,4001
MAD2L1,ENSG00000164109,4085
MAPK14,ENSG00000112062,1432
MCM2,ENSG00000073111,4171
MCM3,ENSG00000112118,4172
MCM5,ENSG00000100297,4174
MCM6,ENSG00000076003,4175
MEIS1,ENSG00000143995,4211
MEIS2,ENSG00000134138,4212
MKI67,ENSG00000148773,4288
MNAT1,ENSG00000020426,4331
MT2A,ENSG00000125148,4502
MTF2,ENSG00000143033,22823
MYBL2,ENSG00000101057,4605
MYC,ENSG00000136997,4609
NASP,ENSG00000132780,4678
NCL,ENSG00000115053,4691
NDC80,ENSG00000080986,10403
NEK2,ENSG00000117650,4751
NOLC1,ENSG00000166197,9221
NOTCH2,ENSG00000134250,4853
NSD2,ENSG00000109685,7468
NUMA1,ENSG00000137497,4926
NUP50,ENSG00000093000,10762
NUP98,ENSG00000110713,4928
NUSAP1,ENSG00000137804,51203
ODC1,ENSG00000115758,4953
ODF2,ENSG00000136811,4957
ORC5,ENSG00000164815,5001
ORC6,ENSG00000091651,23594
PAFAH1B1,ENSG00000007168,5048
PBK,ENSG00000168078,55872
PDS5B,ENSG00000083642,23047
PLK1,ENSG00000166851,5347
PLK4,ENSG00000142731,10733
PML,ENSG00000140464,5371
POLA2,ENSG00000014138,23649
