OriginalConnGroup,ReferenceKey,ObservedPercent,MinimumGroupPercent,MaximumGroupPercent,ProteomeGroups,GroupIDs,Category,ConnGroup
9,GSE103520_MCF10A_control,11.3246538541021,11.3246538541021,11.3246538541021,1,KLA31_29,normal_cells,8
2,GSE114691_control_placenta,2.14805937125472,2.14805937125472,2.14805937125472,1,KLA31_06,normal_tissue,2
12,GSE119834_NSC,21.0736958321833,21.0736958321833,21.0736958321833,1,KLA31_30,normal_cells,11
6,GSE132714_BPH,24.8622842453177,24.8622842453177,24.8622842453177,1,KLA31_08,normal_tissue,5
9,GSE163787_TALL104,9.02517407605785,9.02517407605785,9.02517407605785,1,KLA31_17,cancer_cells,8
9,GSE171750_A549_untreated,27.7262180974478,27.7262180974478,27.7262180974478,1,KLA31_19,cancer_cells,8
3,GSE181540_HS_input,15.9598723210214,15.9598723210214,15.9598723210214,1,KLA31_03,normal_tissue,3
3,GSE181540_adjacent_NS_input,21.2244897959184,21.2244897959184,21.2244897959184,1,KLA31_04,normal_tissue,3
9,GSE203529_HEK293T_WT,5.68234746157429,5.68234746157429,5.68234746157429,1,KLA31_25,normal_cells,8
12,GSE266884_MES28_vector_control,30.6185813231431,30.6185813231431,30.6185813231431,1,KLA31_23,cancer_cells,11
13,GSE275256_HMC3_vehicle,20.8251793868232,20.8251793868232,20.8251793868232,1,KLA31_26,normal_cells,12
9,GSE283812_T47D_vehicle,26.5073947667804,26.5073947667804,26.5073947667804,1,KLA31_21,cancer_cells,8
4,GTEx_v8_Hippocampus,12.9233804669517,12.9233804669517,12.9233804669517,1,KLA31_05,normal_tissue,2
2,GTEx_v8_Lung,3.04256352160544,3.04256352160544,3.04256352160544,1,KLA31_02,normal_tissue,2
9,HCT116_control,14.9924287272798,5.23690773067332,28.019680196802,3,KLA31_14;KLA31_15;KLA31_16,cancer_cells,8
14,HK2_untreated,25.4849908107004,20.0326730651419,30.9373085562589,2,KLA31_27;KLA31_28,normal_cells,13
15,HUVEC_untreated,24.1981011034129,24.1981011034129,24.1981011034129,1,KLA31_31,normal_cells,14
10,HepG2_DMSO24h,33.5942114589486,33.5942114589486,33.5942114589486,1,KLA31_18,cancer_cells,9
9,MCF7_DMSO7d,28.1703775411423,28.1703775411423,28.1703775411423,1,KLA31_13,cancer_cells,8
9,MDAMB468_DMSO7d,29.5478723404255,29.5478723404255,29.5478723404255,1,KLA31_20,cancer_cells,8
11,PC3M_DMSO,3.92595353460057,3.92595353460057,3.92595353460057,1,KLA31_22,cancer_cells,10
9,RKO_DMSO,28.65836791148,28.65836791148,28.65836791148,1,KLA31_24,cancer_cells,8
8,TCGA_ESCA_ESCC,13.4974638129407,13.4974638129407,13.4974638129407,1,KLA31_10,cancer_tissue,7
7,TCGA_LIHC_normal,33.0510468125147,33.0510468125147,33.0510468125147,1,KLA31_09,normal_tissue,6
7,TCGA_LIHC_primary,29.5296838858905,29.5296838858905,29.5296838858905,1,KLA31_12,cancer_tissue,6
6,TCGA_PRAD_primary,24.8445690601,24.8445690601,24.8445690601,1,KLA31_11,cancer_tissue,5
5,sperm_GroupI,2.13483146067416,2.13483146067416,2.13483146067416,1,KLA31_07,normal_tissue,4
1,tendon_nondiabetic,12.14859437751,12.14859437751,12.14859437751,1,KLA31_01,normal_tissue,1
